"rowname","Especie","Long","Lat","BD","colecta","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","prub","env_group","env_group_2","env_group_3"
"15","albilanata",-97.0775,16.541389,"gbif",NA,175,152,73,1102,275,69,206,180,160,189,159,1108,245,4,99,640,21,381,31,-2.5929043077079,-4.12729664339467,1.81202063747461,2.57774884364944,1.79527660872164,-0.357782856959473,-0.503186935396217,0.0118780826850216,0.191251522403203,0.0531867776176016,-0.187382080844754,-0.0632425377143301,-0.0574052206932461,0.0183210847326923,0.0232897916889912,-0.0148722409500856,0.0640342550187457,-0.00202999890650526,0.00928893372147294,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"17","albilanata",-96.949806,17.585442,"gbif",NA,177,151,68,1709,286,64,222,185,166,197,152,695,140,6,94,385,19,216,33,-0.331004335367016,-0.305004891570245,0.851088108547162,-0.937697772952129,0.388981104935496,0.437323539799997,0.00515674458099647,-0.188580546820102,0.281789871715366,-0.332911352176159,0.146868531869173,-0.256594907590549,-0.141551910021433,-0.0466908581343764,-0.124991741494686,0.0764103572780191,-0.116395644338952,0.107511072604662,0.0260404241829435,"Huauclilla","Huauclilla","Huauclilla","Huauclilla"
"18","albilanata",-96.92516,17.370764,"gbif",NA,162,156,71,1352,270,52,218,167,144,178,142,723,161,5,92,402,20,258,26,-2.18113986400532,-0.297801228476715,0.737943842693662,1.10783526365481,0.942194015278231,0.311260670629695,-0.0406946443775143,-0.374343560562078,0.17772660830013,0.0508690499210845,0.046626653044688,-0.0693909185743695,-0.00818084576996402,-0.0669979598784591,0.0444947723072392,-0.0797020482610322,-0.00932055868891087,0.0184788281481833,0.0194904300032048,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"19","albilanata",-99.449637,17.434344,"gbif",NA,224,140,71,1258,321,124,197,226,226,240,207,1030,241,2,108,666,17,241,22,2.43619072054693,-5.03049888136158,3.10717192083523,2.24062065016096,1.08981751968548,0.991291717461681,-0.236817180790631,0.183875037169584,-0.576924096511133,0.194443435994523,0.140642016418046,-0.115018622941293,-0.00858520429964963,-0.311761045885339,-0.408358476966014,0.163718984401922,-0.0203516947248008,0.070156382757325,0.0238803188725718,"Albilanata","Albilanata","Albilanata","Albilanata"
"21","albilanata",-97.085307,17.469148,"gbif",NA,177,163,70,1601,290,58,232,185,156,196,154,681,139,5,91,374,19,234,25,-0.778476267783681,-0.315440046236732,-0.417053597975829,0.259687772035841,0.0867133378040416,0.365721786950341,0.253248392031665,-0.333468840688809,0.051996186699784,-0.0710361205171741,-0.00679085424390901,-0.135608009843923,-0.148519363328617,-0.00897010624383968,0.00445171201556909,-0.0358335097011962,0.0027612112895207,0.0121253565091189,0.002378649654688,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"22","albilanata",-97.0855,17.462142,"gbif",NA,167,166,71,1438,280,49,231,174,147,184,146,600,125,4,88,321,16,215,23,-1.41763854497866,0.678317749697692,-0.615974616287223,1.11429434347344,0.287930996867012,0.658419859209025,0.564618918431834,-0.424163340360452,0.20383416547946,-0.119464550543725,0.0650310458095197,-0.0868214863594425,0.0308984493959634,-0.0322279031029299,0.0437360205042486,-0.0026447501256558,-0.000842350825543777,-0.000552001590100492,0.0042660947396309,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"23","albilanata",-97.320934,17.725252,"gbif",NA,156,165,68,1744,273,32,241,166,132,176,131,564,122,4,87,283,15,221,21,-1.48759294369369,1.53880556241172,-1.35706218544223,-0.781335967954647,1.0375716090174,0.014458246132974,0.519582908950623,-0.382116518803513,0.138819096748886,-0.130607998906065,0.121142279585075,-0.0367809183854531,-0.0641347037500849,-0.117834609643268,0.128354409162431,-0.000248089606382291,-0.0351031104361836,-0.0198088900532887,0.00189236019287618,"unknown","Oaxacana","Oaxacana","Oaxacana"
"24","albilanata",-96.275859,16.866561,"gbif",NA,178,133,68,1553,276,81,195,186,159,197,156,707,151,8,89,370,31,245,35,-0.994676863509187,-0.43672010685317,3.49408955005238,-0.927522923500515,-0.0828840365476589,-0.0941149041128588,0.210503236048817,-0.220278578887881,0.283547623665228,0.476764018673706,-0.10187064264744,0.0931600596452191,-0.0461307897091154,0.0398002829522786,0.0752837260945406,-0.0822708336799325,0.0359103705074675,0.00275941519866425,-0.012548877982817,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"25","albilanata",-96.275628,16.86652,"gbif",NA,178,133,68,1553,276,81,195,186,159,197,156,707,151,8,89,370,31,245,35,-0.994676863509187,-0.43672010685317,3.49408955005238,-0.927522923500515,-0.0828840365476589,-0.0941149041128588,0.210503236048817,-0.220278578887881,0.283547623665228,0.476764018673706,-0.10187064264744,0.0931600596452191,-0.0461307897091154,0.0398002829522786,0.0752837260945406,-0.0822708336799325,0.0359103705074675,0.00275941519866425,-0.012548877982817,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"26","albilanata",-96.305781,16.859863,"gbif",NA,169,129,69,1349,262,77,185,180,152,186,150,715,156,8,90,368,33,254,36,-1.85815071171711,-0.28118688656957,4.29512763487386,-0.168971876006351,0.246475650174788,0.0485281357818234,0.0054488883443248,-0.256422015049165,0.449909994160688,0.662013469729049,-0.190100969550963,0.167674736699302,0.0173914805466918,0.165655120531743,0.0518358088716882,-0.0150112083477866,0.0336006707625196,-0.0272229818787157,-0.0170730830185135,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
