"","Especie","Long","Lat","BD","colecta","env_group_3"
"89","haageana",-97.456223,18.327015,"gbif",NA,"M_meissneri"
"90","haageana",-97.456582,18.3306,"gbif",NA,"M_meissneri"
"91","haageana",-97.458648,18.330812,"gbif",NA,"M_meissneri"
"92","haageana",-97.459746,18.327216,"gbif",NA,"M_meissneri"
"93","haageana",-97.456861,18.327152,"gbif",NA,"M_meissneri"
"94","haageana",-97.456645,18.327099,"gbif",NA,"M_meissneri"
"95","haageana",-97.323871,17.856039,"gbif",NA,"Oaxacana"
"96","haageana",-97.460651,18.326987,"gbif",NA,"M_meissneri"
"97","haageana",-97.2769,19.441345,"gbif",NA,"Haageana"
"98","haageana",-97.428999,19.514548,"gbif",NA,"Haageana"
"99","haageana",-97.43763,19.508733,"gbif",NA,"Haageana"
"100","haageana",-97.462072,18.333679,"gbif",NA,"M_meissneri"
"101","haageana",-96.893414,16.604153,"gbif",NA,"Oaxacana"
"102","haageana",-97.318825,18.528913,"gbif",NA,"M_conspicua"
"103","haageana",-97.469383,18.3311,"gbif",NA,"M_meissneri"
"104","haageana",-97.445507,19.502476,"gbif",NA,"Haageana"
"105","haageana",-97.319549,17.707729,"gbif",NA,"Oaxacana"
"106","haageana",-97.487359,19.394898,"gbif",NA,"Haageana"
"107","haageana",-97.450701,19.352218,"gbif",NA,"Haageana"
"108","haageana",-97.356222,17.853157,"gbif",NA,"Oaxacana"
"109","haageana",-97.549863,18.274145,"gbif",NA,"M_meissneri"
"110","haageana",-97.475706,18.329069,"gbif",NA,"M_meissneri"
"111","haageana",-97.418128,18.943288,"gbif",NA,"Haageana"
"112","haageana",-98.06823,18.599085,"gbif",NA,"Sto_domingo"
"113","haageana",-97.605453,18.319358,"gbif",NA,"M_meissneri"
"114","haageana",-97.616505,18.308653,"gbif",NA,"M_meissneri"
"115","haageana",-97.414092,18.393919,"gbif",NA,"M_meissneri"
"116","haageana",-97.517825,18.333444,"gbif",NA,"M_meissneri"
