"Especie","Lat","Long","BD","colecta"
"haageana",18.893499,-97.886383,"gbif",NA
"haageana",18.274145,-97.549863,"gbif",NA
"haageana",18.890706,-97.902766,"gbif",NA
"haageana",18.884512,-97.691819,"gbif",NA
"haageana",18.329069,-97.475706,"gbif",NA
"haageana",18.943288,-97.418128,"gbif",NA
"haageana",18.599085,-98.06823,"gbif",NA
"haageana",18.319358,-97.605453,"gbif",NA
"haageana",18.870261,-97.977603,"gbif",NA
"haageana",18.871236,-97.977775,"gbif",NA
"haageana",18.970745,-98.015971,"gbif",NA
"haageana",18.989151,-98.018837,"gbif",NA
"haageana",18.970615,-98.016005,"gbif",NA
"haageana",18.960379,-98.014137,"gbif",NA
"haageana",18.959445,-98.015728,"gbif",NA
"haageana",18.308653,-97.616505,"gbif",NA
"haageana",18.884061,-97.910203,"gbif",NA
"haageana",18.893964,-97.886873,"gbif",NA
"haageana",18.88268,-97.909431,"gbif",NA
"haageana",18.393919,-97.414092,"gbif",NA
"haageana",18.973437,-98.025461,"gbif",NA
"haageana",18.333444,-97.517825,"gbif",NA
"haageana",18.590297,-97.912332,"gbif",NA
"haageana",18.331358,-97.466026,"gbif",NA
"haageana",18.864068,-97.975582,"gbif",NA
"haageana",18.912886,-98.313386,"gbif",NA
"haageana",18.432794,-97.613554,"gbif",NA
"haageana",18.432143,-97.615614,"gbif",NA
"haageana",17.85249,-97.1851,"gbif",NA
"haageana",19.33851,-97.453603,"gbif",NA
"haageana",18.278058,-97.519994,"gbif",NA
"haageana",18.217695,-97.287858,"gbif",NA
"haageana",17.976389,-97.373889,"gbif",NA
"haageana",18.679768,-97.746933,"gbif",NA
"haageana",18.319085,-97.443023,"gbif",NA
"haageana",18.384374,-97.444409,"gbif",NA
"haageana",18.317231,-97.373887,"gbif",NA
"haageana",18.280115,-97.481346,"gbif",NA
"haageana",18.183729,-97.622795,"gbif",NA
"haageana",18.325525,-97.55957,"gbif",NA
"haageana",17.880833,-97.412778,"gbif",NA
"haageana",17.762786,-97.318047,"gbif",NA
"haageana",18.073063,-97.305983,"gbif",NA
"haageana",17.928038,-97.439257,"gbif",NA
"haageana",18.744792,-99.162486,"gbif",NA
"haageana",18.686488,-99.047718,"gbif",NA
"haageana",18.890864,-97.89402,"gbif",NA
"haageana",18.891081,-97.899234,"gbif",NA
"haageana",18.312851,-97.380001,"gbif",NA
"haageana",18.269278,-97.567678,"gbif",NA
"haageana",18.329486,-97.454164,"gbif",NA
"haageana",18.067554,-97.309745,"gbif",NA
"haageana",17.551781,-97.389633,"gbif",NA
"haageana",18.327298,-97.442862,"gbif",NA
"haageana",18.057471,-97.343604,"gbif",NA
"haageana",18.875946,-97.975629,"gbif",NA
"haageana",18.31587,-97.617155,"gbif",NA
"haageana",18.277731,-97.558445,"gbif",NA
"haageana",18.283966,-97.559992,"gbif",NA
"haageana",18.857347,-97.974256,"gbif",NA
"haageana",18.332067,-97.45816,"gbif",NA
"haageana",18.330141,-97.457115,"gbif",NA
"haageana",18.330418,-97.457016,"gbif",NA
"haageana",18.331127,-97.456291,"gbif",NA
"haageana",18.33156,-97.457016,"gbif",NA
"haageana",18.27333,-97.560163,"gbif",NA
"haageana",19.109711,-97.849603,"gbif",NA
"haageana",17.87545,-97.361046,"gbif",NA
"haageana",17.894515,-97.691673,"gbif",NA
"haageana",18.456823,-97.356763,"gbif",NA
"haageana",19.418286,-97.415511,"gbif",NA
"haageana",19.151236,-97.813622,"gbif",NA
"haageana",19.151483,-97.813561,"gbif",NA
"haageana",19.145497,-97.810128,"gbif",NA
"haageana",19.514786,-97.428628,"gbif",NA
"haageana",19.419206,-97.414772,"gbif",NA
"haageana",18.327783,-97.452984,"gbif",NA
"haageana",19.151542,-97.813667,"gbif",NA
"haageana",19.152431,-97.81405,"gbif",NA
"haageana",18.620033,-97.754776,"gbif",NA
"haageana",18.356757,-97.434745,"gbif",NA
"haageana",19.344442,-97.563064,"gbif",NA
"haageana",19.331691,-97.454481,"gbif",NA
"haageana",19.344861,-97.564858,"gbif",NA
"haageana",19.115825,-97.842972,"gbif",NA
"haageana",19.545671,-97.269048,"gbif",NA
"haageana",18.226445,-97.262695,"gbif",NA
"haageana",19.359036,-97.495942,"gbif",NA
"haageana",19.351892,-97.492547,"gbif",NA
"haageana",17.87829,-97.84087,"gbif",NA
"haageana",17.850148,-97.496757,"gbif",NA
"haageana",18.067345,-97.719335,"gbif",NA
"haageana",18.242501,-97.611725,"gbif",NA
"haageana",18.044042,-97.494064,"gbif",NA
"haageana",18.316111,-97.615,"gbif",NA
"haageana",18.342407,-97.445563,"gbif",NA
"haageana",18.307677,-97.373199,"gbif",NA
"haageana",18.252222,-97.546667,"gbif",NA
"haageana",18.317129,-97.377319,"gbif",NA
"haageana",18.315174,-97.373543,"gbif",NA
"haageana",19.096998,-97.886295,"gbif",NA
"haageana",18.342794,-97.45079,"gbif",NA
"haageana",18.002938,-97.680924,"gbif",NA
"haageana",19.001832,-97.829947,"gbif",NA
"haageana",18.515156,-97.717302,"gbif",NA
"haageana",18.332594,-97.511258,"gbif",NA
"haageana",18.487568,-97.783292,"gbif",NA
"haageana",17.956656,-97.871223,"gbif",NA
"haageana",17.693223,-97.261264,"gbif",NA
"haageana",18.208529,-97.270975,"gbif",NA
"haageana",17.692722,-97.267639,"gbif",NA
"haageana",17.677361,-97.233056,"gbif",NA
"haageana",17.723944,-97.322651,"gbif",NA
"haageana",17.691261,-97.256457,"gbif",NA
"haageana",18.409924,-97.923933,"gbif",NA
"haageana",18.250774,-97.313848,"gbif",NA
"haageana",18.361412,-97.43129,"gbif",NA
"haageana",17.724639,-97.319904,"gbif",NA
"haageana",17.6855,-97.271806,"gbif",NA
"haageana",19.003779,-97.832147,"gbif",NA
"haageana",18.378655,-97.435413,"gbif",NA
"haageana",18.346944,-97.448889,"gbif",NA
"haageana",17.736653,-97.298286,"gbif",NA
"haageana",18.358616,-97.477889,"gbif",NA
"haageana",18.21435,-97.206259,"gbif",NA
"haageana",19.422588,-97.249368,"gbif",NA
"haageana",18.333949,-97.446371,"gbif",NA
"haageana",18.237177,-97.293205,"gbif",NA
"haageana",19.023191,-97.626957,"gbif",NA
"haageana",18.951668,-97.577501,"gbif",NA
"haageana",18.438081,-97.674074,"gbif",NA
"haageana",18.340366,-97.514983,"gbif",NA
"haageana",17.856468,-97.239814,"gbif",NA
"haageana",18.22273,-97.910265,"gbif",NA
"haageana",18.707943,-97.91343,"gbif",NA
"haageana",18.286927,-97.63291,"gbif",NA
"haageana",18.329232,-97.474676,"gbif",NA
"haageana",18.271835,-97.390859,"gbif",NA
"haageana",18.22128,-97.229691,"gbif",NA
"haageana",18.180104,-97.165833,"gbif",NA
"haageana",18.21291,-97.64891,"gbif",NA
"haageana",19.020262,-97.633786,"gbif",NA
"haageana",18.832471,-99.173874,"gbif",NA
"haageana",19.024923,-97.627808,"gbif",NA
"haageana",19.026093,-97.627036,"gbif",NA
"haageana",18.33247,-97.45766,"gbif",NA
"haageana",18.33125,-97.457328,"gbif",NA
"haageana",18.330378,-97.497053,"gbif",NA
"haageana",17.768631,-97.680817,"gbif",NA
"haageana",17.778603,-97.687168,"gbif",NA
