"Especie","Long","Lat","BD","colecta","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","env_group_3","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
"albilanata",-97.0775,16.541389,"gbif",NA,175,152,73,1102,275,69,206,180,160,189,159,1108,245,4,99,640,21,381,31,"Oaxacana",-2.4388588665037,-4.97447427683879,2.13711879630662,3.17030309398273,-1.71094925739939,0.469394180389729,-0.514538264554889,0.736804466800049,-0.404382700940592,0.132576456701182,0.118948084745652,-0.142057867480071,0.00850218786667553,-0.0661799029603054,-0.0919856259926533,-0.0985537034981628,0.033241055925584,0.00115637034667696,0.000504101814434959
"albilanata",-96.949806,17.585442,"gbif",NA,177,151,68,1709,286,64,222,185,166,197,152,695,140,6,94,385,19,216,33,"Huauclilla",-0.529306508292557,-0.58682545344433,1.24586171765715,-1.05871759746684,-0.0212745646331191,-0.286183616717557,-0.197430758605793,-0.152033897563338,-0.343093052110533,-0.525337285921969,-0.00822385250062923,-0.292486675970719,-0.130393376567142,-0.00239383310475187,0.214000018074495,0.0486972268902241,-0.0746871643850643,-0.0940619607197942,0.0269967121817505
"albilanata",-96.92516,17.370764,"gbif",NA,162,156,71,1352,270,52,218,167,144,178,142,723,161,5,92,402,20,258,26,"Oaxacana",-2.40054308310196,-0.81220550541431,0.933001387649644,1.3010365629294,-0.709044600831905,-0.227227288798428,-0.456668638395567,-0.180236674643797,-0.378599536378299,0.0381840475564441,-0.0528233239727979,-0.0980756758158656,0.00375056978591404,0.0371275510893087,-0.0686579075009306,0.00300453307631966,-0.041898694088148,-0.0190303038751329,0.0160989191719229
"albilanata",-99.449637,17.434344,"gbif",NA,224,140,71,1258,321,124,197,226,226,240,207,1030,241,2,108,666,17,241,22,"Albilanata",2.98667984922724,-4.92961267612014,3.42172933634953,2.87275586659518,-0.907358257891468,-1.18297361067623,-0.477521238669729,0.492979152083386,0.46789536703346,0.2237912252014,-0.312502715280988,-0.186229424537672,-0.0028869750939786,0.278034567237345,0.406056367887572,0.0791411334200365,0.0654630490938384,-0.0374938563227451,0.0155788780729436
"albilanata",-97.085307,17.469148,"gbif",NA,177,163,70,1601,290,58,232,185,156,196,154,681,139,5,91,374,19,234,25,"Oaxacana",-0.97189415646605,-0.686034672198379,-0.22813952374038,0.236015511273322,0.1835409873223,-0.220344310108971,-0.0607754850372229,-0.476784090405737,-0.119748727796566,-0.0662697024669539,0.0774836668892507,-0.0931180473868712,-0.181373164885985,0.00493879760617962,-0.0128612024297117,0.0476561448859179,-0.0152898714505823,-0.0136667884294137,0.00331957907405846
"albilanata",-97.0855,17.462142,"gbif",NA,167,166,71,1438,280,49,231,174,147,184,146,600,125,4,88,321,16,215,23,"Oaxacana",-1.679239633355,0.312207257044302,-0.610364432582833,1.19434157042645,-0.0862040463203031,-0.662847629418166,0.045323705033762,-0.739306045191726,-0.343771041427147,-0.208031369609117,-0.0113469135420051,-0.0753976241541193,0.0193785635846798,0.0176597139487787,-0.00563308291774301,-0.0264947211284256,0.00700005257487713,-0.0177052708630919,0.00076537047052962
"albilanata",-97.320934,17.725252,"gbif",NA,156,165,68,1744,273,32,241,166,132,176,131,564,122,4,87,283,15,221,21,"Oaxacana",-1.78988744642304,1.07344498935575,-1.36818234870566,-1.01041880731644,-1.02118491664335,-0.213836004053182,0.0606855180516638,-0.612396892567061,-0.237939941925429,-0.218791242783344,-0.00330800809406277,-0.0132687501638609,-0.121504267754456,0.103969452129481,-0.0577040070097653,-0.0560104989615991,-0.0564585822256198,5.91463123758356e-05,0.00273409834787445
"albilanata",-96.275859,16.866561,"gbif",NA,178,133,68,1553,276,81,195,186,159,197,156,707,151,8,89,370,31,245,35,"Oaxacana",-1.32373218784733,-0.661422952035237,4.22039717915532,-0.875152828386084,0.289007236245785,0.366075581834677,0.174308483804944,-0.161538212526167,-0.385450215280769,0.620058221873273,-0.0405314167309795,0.103517766354942,-0.0350632015316509,-0.0570646117954486,-0.121970476294604,-0.0150533483593121,-0.00835890513487415,0.019547592859927,-0.0138818601325009
"albilanata",-96.275628,16.86652,"gbif",NA,178,133,68,1553,276,81,195,186,159,197,156,707,151,8,89,370,31,245,35,"Oaxacana",-1.32373218784733,-0.661422952035237,4.22039717915532,-0.875152828386084,0.289007236245785,0.366075581834677,0.174308483804944,-0.161538212526167,-0.385450215280769,0.620058221873273,-0.0405314167309795,0.103517766354942,-0.0350632015316509,-0.0570646117954486,-0.121970476294604,-0.0150533483593121,-0.00835890513487415,0.019547592859927,-0.0138818601325009
"albilanata",-96.305781,16.859863,"gbif",NA,169,129,69,1349,262,77,185,180,152,186,150,715,156,8,90,368,33,254,36,"Oaxacana",-2.24098429804986,-0.565734474353188,5.03260460438823,0.0419953161509579,0.0101293973038924,0.229346881112521,-0.0802305759959919,0.0181585231296126,-0.673288803367902,0.837046285401717,0.000348915998097599,0.137422955714817,0.0726898262147389,-0.182291285456369,-0.0717148754783225,-0.0965235381657316,0.0272704714844102,0.0440476137107786,-0.0224073806590631
